ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0048247	lymphocyte chemotaxis	2/6	65/18866	0.000173770986637578	0.0193307048504188	0.00886127387031081	CCL22/CX3CL1	2
GO:0002548	monocyte chemotaxis	2/6	67/18866	0.000184662923865534	0.0193307048504188	0.00886127387031081	CCL22/CX3CL1	2
GO:0070098	chemokine-mediated signaling pathway	2/6	88/18866	0.000318765575897519	0.0193307048504188	0.00886127387031081	CCL22/CX3CL1	2
GO:0071674	mononuclear cell migration	2/6	97/18866	0.000387220894329945	0.0193307048504188	0.00886127387031081	CCL22/CX3CL1	2
GO:1990868	response to chemokine	2/6	97/18866	0.000387220894329945	0.0193307048504188	0.00886127387031081	CCL22/CX3CL1	2
GO:1990869	cellular response to chemokine	2/6	97/18866	0.000387220894329945	0.0193307048504188	0.00886127387031081	CCL22/CX3CL1	2
GO:0030593	neutrophil chemotaxis	2/6	103/18866	0.00043649978694494	0.0193307048504188	0.00886127387031081	CCL22/CX3CL1	2
GO:0072676	lymphocyte migration	2/6	117/18866	0.000562767344324416	0.0205402348776192	0.00941572736325499	CCL22/CX3CL1	2
GO:1990266	neutrophil migration	2/6	122/18866	0.000611677435024111	0.0205402348776192	0.00941572736325499	CCL22/CX3CL1	2
GO:0071621	granulocyte chemotaxis	2/6	127/18866	0.000662588221858685	0.0205402348776192	0.00941572736325499	CCL22/CX3CL1	2
GO:0097530	granulocyte migration	2/6	150/18866	0.000922424008123478	0.0259955856834798	0.0119164824015952	CCL22/CX3CL1	2
GO:0071346	cellular response to interferon-gamma	2/6	182/18866	0.00135341577884016	0.0322730443497884	0.01479409503301	CCL22/CX3CL1	2
GO:0071347	cellular response to interleukin-1	2/6	183/18866	0.00136817644537047	0.0322730443497884	0.01479409503301	CCL22/CX3CL1	2
GO:0034341	response to interferon-gamma	2/6	202/18866	0.00166339588810265	0.0322730443497884	0.01479409503301	CCL22/CX3CL1	2
GO:1902905	positive regulation of supramolecular fiber organization	2/6	208/18866	0.00176242988781655	0.0322730443497884	0.01479409503301	CX3CL1/KATNB1	2
GO:0070555	response to interleukin-1	2/6	211/18866	0.00181298782021738	0.0322730443497884	0.01479409503301	CCL22/CX3CL1	2
GO:0070374	positive regulation of ERK1 and ERK2 cascade	2/6	215/18866	0.00188147581948759	0.0322730443497884	0.01479409503301	CCL22/CX3CL1	2
