ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0051342	regulation of cyclic-nucleotide phosphodiesterase activity	1/4	10/18866	0.0021186994410749	0.0615991157644887	0.0203786548393797	SLC39A14	1
GO:0006828	manganese ion transport	1/4	15/18866	0.00317678576953417	0.0615991157644887	0.0203786548393797	SLC39A14	1
GO:0034755	iron ion transmembrane transport	1/4	18/18866	0.00381123353839785	0.0615991157644887	0.0203786548393797	SLC39A14	1
GO:0071577	zinc ion transmembrane transport	1/4	23/18866	0.00486797341571199	0.0615991157644887	0.0203786548393797	SLC39A14	1
GO:0006829	zinc ion transport	1/4	27/18866	0.00571275981096742	0.0615991157644887	0.0203786548393797	SLC39A14	1
GO:0045745	positive regulation of G protein-coupled receptor signaling pathway	1/4	28/18866	0.00592387234139646	0.0615991157644887	0.0203786548393797	SLC39A14	1
GO:0032728	positive regulation of interferon-beta production	1/4	30/18866	0.00634599654518264	0.0615991157644887	0.0203786548393797	POLR3D	1
GO:0006882	cellular zinc ion homeostasis	1/4	37/18866	0.00782237263394103	0.0615991157644887	0.0203786548393797	SLC39A14	1
GO:0055069	zinc ion homeostasis	1/4	39/18866	0.0082438920272111	0.0615991157644887	0.0203786548393797	SLC39A14	1
GO:0006383	transcription by RNA polymerase III	1/4	47/18866	0.00992862664731042	0.0615991157644887	0.0203786548393797	POLR3D	1
GO:0032648	regulation of interferon-beta production	1/4	48/18866	0.0101390674514663	0.0615991157644887	0.0203786548393797	POLR3D	1
GO:0032608	interferon-beta production	1/4	50/18866	0.0105598484167695	0.0615991157644887	0.0203786548393797	POLR3D	1
GO:0006879	cellular iron ion homeostasis	1/4	70/18866	0.0147602835951469	0.0657535163549303	0.0217530430046386	SLC39A14	1
GO:0032481	positive regulation of type I interferon production	1/4	74/18866	0.015598763136962	0.0657535163549303	0.0217530430046386	POLR3D	1
GO:0006826	iron ion transport	1/4	79/18866	0.0166461098262319	0.0657535163549303	0.0217530430046386	SLC39A14	1
GO:0055072	iron ion homeostasis	1/4	87/18866	0.0183201259170146	0.0657535163549303	0.0217530430046386	SLC39A14	1
GO:0006094	gluconeogenesis	1/4	91/18866	0.0191563320101419	0.0657535163549303	0.0217530430046386	SLC39A14	1
GO:0019319	hexose biosynthetic process	1/4	94/18866	0.0197831359126862	0.0657535163549303	0.0217530430046386	SLC39A14	1
GO:0098659	inorganic cation import across plasma membrane	1/4	97/18866	0.020409639349983	0.0657535163549303	0.0217530430046386	SLC39A14	1
GO:0099587	inorganic ion import across plasma membrane	1/4	97/18866	0.020409639349983	0.0657535163549303	0.0217530430046386	SLC39A14	1
GO:0046364	monosaccharide biosynthetic process	1/4	100/18866	0.021035842418069	0.0657535163549303	0.0217530430046386	SLC39A14	1
GO:0002062	chondrocyte differentiation	1/4	108/18866	0.0227042495247841	0.0657535163549303	0.0217530430046386	SLC39A14	1
GO:0046916	cellular transition metal ion homeostasis	1/4	116/18866	0.0243705231757307	0.0657535163549303	0.0217530430046386	SLC39A14	1
GO:0032479	regulation of type I interferon production	1/4	125/18866	0.0262425331521952	0.0657535163549303	0.0217530430046386	POLR3D	1
GO:0032606	type I interferon production	1/4	127/18866	0.0266581692547215	0.0657535163549303	0.0217530430046386	POLR3D	1
GO:0000041	transition metal ion transport	1/4	129/18866	0.0270736722862739	0.0657535163549303	0.0217530430046386	SLC39A14	1
GO:0071333	cellular response to glucose stimulus	1/4	134/18866	0.0281118478660468	0.0657535163549303	0.0217530430046386	SLC39A14	1
GO:0071331	cellular response to hexose stimulus	1/4	136/18866	0.0285268853728646	0.0657535163549303	0.0217530430046386	SLC39A14	1
GO:0071326	cellular response to monosaccharide stimulus	1/4	137/18866	0.0287343542708096	0.0657535163549303	0.0217530430046386	SLC39A14	1
GO:0055076	transition metal ion homeostasis	1/4	138/18866	0.0289417899365105	0.0657535163549303	0.0217530430046386	SLC39A14	1
GO:0008286	insulin receptor signaling pathway	1/4	143/18866	0.0299784699055657	0.0657535163549303	0.0217530430046386	SLC39A14	1
GO:0071322	cellular response to carbohydrate stimulus	1/4	145/18866	0.0303929093916797	0.0657535163549303	0.0217530430046386	SLC39A14	1
GO:0008277	regulation of G protein-coupled receptor signaling pathway	1/4	148/18866	0.0310143196007862	0.0657535163549303	0.0217530430046386	SLC39A14	1
GO:0001678	cellular glucose homeostasis	1/4	153/18866	0.0320493394655995	0.0657535163549303	0.0217530430046386	SLC39A14	1
GO:0098739	import across plasma membrane	1/4	157/18866	0.0328767581774652	0.0657535163549303	0.0217530430046386	SLC39A14	1
